id,@id,electrified,frequency,gauge,operator,railway,railway:block,tracks,usage,voltage,@timestamp,@version,@changeset,@user,@uid,bridge,layer,maxspeed,name,tunnel,year_of_construction,passenger_lines,railway:track_ref,service,railway:traffic_mode,covered,railway:ref,description,ele,light_rail,local_ref,network,public_transport,train,uic_name,uic_ref,ref,old_name,crossing:barrier,crossing:light,crossing:bell,supervised,railway:signal:main:form,crossing,horse,start_date
way/25940236,way/25940236,contact_line,"0","1000",AVA,narrow_gauge,"301","1",branch,"750",2020/11/20 07:55:54,"32","94483486",BeatKK,"4665002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/25940237,way/25940237,contact_line,"0","1000",AVA,narrow_gauge,W1,"1",branch,"750",2020/12/20 14:10:19,"12","96140841",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/25940241,way/25940241,contact_line,"0","1000",AVA,narrow_gauge,W1,"1",branch,"750",2019/07/09 17:05:35,"7","72064035",sovereign_ch,"5755216",yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/26631236,way/26631236,contact_line,"0","1000",AVA,narrow_gauge,"301","1",branch,"750",2019/07/09 17:05:35,"16","72064035",sovereign_ch,"5755216",,"-1","40",Stadttunnel WSB,yes,"1965",,,,,,,,,,,,,,,,,,,,,,,,,
way/27515408,way/27515408,contact_line,"0","1000",AVA,narrow_gauge,"103","1",branch,"750",2019/07/09 17:05:35,"22","72064035",sovereign_ch,"5755216",,,"80",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,
way/41873592,way/41873592,contact_line,"0","1000",AVA,narrow_gauge,"104","1",branch,"750",2019/07/09 17:05:35,"41","72064035",sovereign_ch,"5755216",,,"70",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/48779175,way/48779175,contact_line,"0","1000",AVA,narrow_gauge,W6,"1",branch,"750",2019/07/09 17:05:35,"16","72064035",sovereign_ch,"5755216",,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/48779177,way/48779177,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:35,"9","72064035",sovereign_ch,"5755216",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/48779178,way/48779178,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:35,"8","72064035",sovereign_ch,"5755216",,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/48878565,way/48878565,contact_line,"0","1000",AVA,narrow_gauge,"304","1",branch,"750",2019/07/09 17:05:35,"35","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/48878573,way/48878573,contact_line,"0","1000",AVA,narrow_gauge,W2,"1",branch,"750",2020/01/16 15:43:54,"8","79656912",SWF8,"3524812",yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/51075486,way/51075486,contact_line,"0","1000",AVA,narrow_gauge,"306","1",branch,"750",2019/07/09 17:05:35,"8","72064035",sovereign_ch,"5755216",yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/51075487,way/51075487,contact_line,"0","1000",AVA,narrow_gauge,"306","1",branch,"750",2019/07/09 17:05:35,"24","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/83077187,way/83077187,contact_line,"0","1000",AVA,narrow_gauge,"103","1",branch,"750",2019/07/09 17:05:35,"19","72064035",sovereign_ch,"5755216",,"-2","80",,yes,,"2",,,,,,,,,,,,,,,,,,,,,,,,
way/83090376,way/83090376,contact_line,"0","1000",AVA,narrow_gauge,"109","1",branch,"750",2019/07/09 17:05:35,"10","72064035",sovereign_ch,"5755216",yes,"1","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/83090484,way/83090484,contact_line,"0","1000",AVA,narrow_gauge,"109","1",branch,"750",2019/07/09 17:05:35,"15","72064035",sovereign_ch,"5755216",,,"65",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/83090935,way/83090935,contact_line,"0","1000",AVA,narrow_gauge,"109","1",branch,"750",2019/07/09 17:05:35,"10","72064035",sovereign_ch,"5755216",yes,"1","80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/83091004,way/83091004,contact_line,"0","1000",AVA,narrow_gauge,"109","1",branch,"750",2019/07/09 17:05:35,"12","72064035",sovereign_ch,"5755216",,,"80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/88824399,way/88824399,contact_line,"0","1000",AVA,narrow_gauge,"203","1",branch,"750",2019/07/09 17:05:35,"16","72064035",sovereign_ch,"5755216",,,"80",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,
way/103337092,way/103337092,contact_line,"0","1000",AVA,narrow_gauge,W1_U,"1",branch,"750",2019/07/09 17:05:35,"8","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/103731414,way/103731414,contact_line,"0","1000",AVA,narrow_gauge,W4,"1",branch,"750",2019/07/09 17:05:36,"8","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/104414033,way/104414033,contact_line,"0","1000",AVA,narrow_gauge,W1_B,"1",branch,"750",2019/07/09 17:05:36,"8","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/104414043,way/104414043,contact_line,"0","1000",AVA,narrow_gauge,W1,,branch,"750",2021/02/10 19:40:30,"11","99061504",rbuffat,"9560206",,,"30",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/104431263,way/104431263,contact_line,"0","1000",AVA,narrow_gauge,W1,"1",branch,"750",2019/07/09 17:05:36,"9","72064035",sovereign_ch,"5755216",,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/104431271,way/104431271,contact_line,"0","1000",AVA,narrow_gauge,W1,,,"750",2019/07/09 17:05:36,"8","72064035",sovereign_ch,"5755216",,,,,,,,"2",siding,,,,,,,,,,,,,,,,,,,,,,
way/104431289,way/104431289,contact_line,"0","1000",AVA,narrow_gauge,W1,,,"750",2019/07/09 17:05:36,"9","72064035",sovereign_ch,"5755216",,,,,,,,"2",siding,,,,,,,,,,,,,,,,,,,,,,
way/104431310,way/104431310,contact_line,"0","1000",AVA,narrow_gauge,W1_U,"1",branch,"750",2019/07/09 17:05:36,"8","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/106158522,way/106158522,contact_line,"0","1000",AAR,narrow_gauge,,,,"750",2018/09/04 17:11:57,"10","62286342",SWF8,"3524812",,,,,,,,,siding,freight,,,,,,,,,,,,,,,,,,,,,
way/106158544,way/106158544,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:36,"13","72064035",sovereign_ch,"5755216",,,"80",,,,"2","7",,,,,,,,,,,,,,,,,,,,,,,
way/106158558,way/106158558,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:36,"14","72064035",sovereign_ch,"5755216",,,"80",,,,"2","7",,,,,,,,,,,,,,,,,,,,,,,
way/106158573,way/106158573,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:36,"16","72064035",sovereign_ch,"5755216",,,"35",,,,,"8",,,,,,,,,,,,,,,,,,,,,,,
way/106175431,way/106175431,contact_line,"0","1000",AAR,narrow_gauge,,,,"750",2018/09/04 17:11:57,"8","62286342",SWF8,"3524812",,,,,,,,,siding,freight,,,,,,,,,,,,,,,,,,,,,
